source_rel,upload_file_id,upload_page_titles,plan_page_title,parent_category,subject,material_category,filename,size_mb,summary
习思想_习概/1.docx,6a0724caabfe09661dcd8b29,习思想_习概课程资料,习思想_习概课程资料,课程,习思想_习概,课程资料,1.docx,0.02,文档系统总结了习近平新时代中国特色社会主义思想的核心内容，包括政治准则、思想政治基础、理论核心、实践方略、实践成果和立场观点方法。
习思想_习概/2024-2025秋 习概A卷 回忆版.pdf,"{""id"": ""69956db3e01ad802e5336f1e"", ""reused_existing"": true}",,习思想_习概往年题,课程,习思想_习概,往年题,2024-2025秋 习概A卷 回忆版.pdf,0.25,华中科技大学2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》A卷回忆版，开卷考试，时长120分钟。包含20道单项选择题，覆盖新时代社会主要矛盾、思想建党、马克思主义中国化时代化、文化自信、总体国家安全观、教育定位、新时代课题、实体经济、六个必须坚持、四个全面、新发展阶段、新发展格局、统一战线、全面依法治国、人民之问、自我革命、生态文明等核心知识点。
习思想_习概/2024-2025秋 习概A卷ai答案.docx,"{""id"": ""6a0724c7abfe09661dcd8b24"", ""reused_existing"": true}",,习思想_习概往年题,课程,习思想_习概,往年题,2024-2025秋 习概A卷ai答案.docx,0.02,2024-2025秋季学期《习近平新时代中国特色社会主义思想概论》A卷试题答案与解析，涵盖单项选择题和多项选择题，涉及历史方位、思想建党、马克思主义中国化、文化自信、总体国家安全观、教育定位、时代课题、经济发展着力点、世界观方法论、战略布局、新发展阶段、新发展格局、统一战线、全面依法治国、自我革命、生态文明、战略安排等知识点。
习思想_习概/《习概》单选多选混合题库（页面重排） (1).pdf,"{""id"": ""69956db5e01ad802e5336f1f"", ""reused_existing"": true}",,习思想_习概往年题,课程,习思想_习概,往年题,《习概》单选多选混合题库（页面重排） (1).pdf,8.15,《习概》单选多选混合题库，包含单选题和多选题，适用于习概课程复习与考试练习。
习思想_习概/《习概》单选多选混合题库（页面重排）.pdf,"{""id"": ""69956db5e01ad802e5336f1f"", ""reused_existing"": true}",,习思想_习概往年题,课程,习思想_习概,往年题,《习概》单选多选混合题库（页面重排）.pdf,8.15,《习概》单选多选混合题库，包含单选题和多选题，适用于习概课程复习与考试准备。
习思想_习概/《习概》单选题题库.pdf,"{""id"": ""6a0724c7abfe09661dcd8b25"", ""reused_existing"": true}",,习思想_习概往年题,课程,习思想_习概,往年题,《习概》单选题题库.pdf,0.31,《习概》单选题题库，涵盖导论、新时代坚持发展中国特色社会主义总任务、坚持党的全面领导、坚持以人民为中心等章节，包含选择题及参考答案，适用于课程复习与考试准备。
习思想_习概/中共中央关于制定国民经济和社会发展第十五个五年规划的建议（全文+划重点）(1).pdf,6a0724beabfe09661dcd8b19,习思想_习概复习资料,习思想_习概复习资料,课程,习思想_习概,复习资料,中共中央关于制定国民经济和社会发展第十五个五年规划的建议（全文+划重点）(1).pdf,0.69,中共中央关于制定国民经济和社会发展第十五个五年规划的建议，于2025年10月23日由中国共产党第二十届中央委员会第四次全体会议通过。文件分析了国际国内形势，总结了十四五时期成就，明确了十五五时期作为基本实现社会主义现代化关键时期的定位，提出了指导方针和主要目标，强调贯彻习近平新时代中国特色社会主义思想，推动高质量发展。全文包含划重点内容，便于学习理解。
习思想_习概/中共中央关于进一步全面深化改革，推进中国式现代化的决定.pdf,6a0724ccabfe09661dcd8b2a,习思想_习概课程资料,习思想_习概课程资料,课程,习思想_习概,课程资料,中共中央关于进一步全面深化改革，推进中国式现代化的决定.pdf,32.53,中共中央关于进一步全面深化改革、推进中国式现代化的决定，是指导当前和今后一个时期改革发展的纲领性文件，涵盖经济、政治、文化、社会、生态文明等各领域改革部署。
习思想_习概/中国共产党第二十届中央委员会第四次全体会议公报 (1).pdf,6a0724cdabfe09661dcd8b2b,习思想_习概课程资料,习思想_习概课程资料,课程,习思想_习概,课程资料,中国共产党第二十届中央委员会第四次全体会议公报 (1).pdf,0.2,中国共产党第二十届中央委员会第四次全体会议于2025年10月20日至23日在北京举行，审议通过了《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》，强调以中国式现代化全面推进中华民族伟大复兴，提出“十五五”时期经济社会发展的主要目标和原则。
习思想_习概/中国共产党第二十届中央委员会第四次全体会议公报.pdf,6a0724cdabfe09661dcd8b2c,习思想_习概课程资料,习思想_习概课程资料,课程,习思想_习概,课程资料,中国共产党第二十届中央委员会第四次全体会议公报.pdf,0.28,中国共产党第二十届中央委员会第四次全体会议于2025年10月20日至23日在北京举行，审议通过了《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》。全会高度评价“十四五”时期成就，强调“十五五”时期是基本实现社会主义现代化夯实基础的关键时期，并提出了主要目标和原则。
习思想_习概/中国共产党第二十届中央委员会第四次全体会议战略全景与“十五五”规划深度解析报告.docx,"{""id"": ""6a0724c4abfe09661dcd8b21"", ""reused_existing"": true}",,习思想_习概实验资料,课程,习思想_习概,实验资料,中国共产党第二十届中央委员会第四次全体会议战略全景与“十五五”规划深度解析报告.docx,4.63,该报告深入解析了二十届四中全会战略全景与“十五五”规划，涵盖会议议程、政治逻辑、发展环境研判、核心目标、科技创新、新质生产力、经济体制改革及高水平对外开放等核心内容。
习思想_习概/习概开卷必带资料(1).pdf,"{""id"": ""69956dcfe01ad802e5336f26"", ""reused_existing"": true}",,习思想_习概往年题,课程,习思想_习概,往年题,习概开卷必带资料(1).pdf,0.84,该资料为习概课程期末复习参考资料，涵盖习近平新时代中国特色社会主义思想创立的时代背景、'两个结合'的重大成果、主要内容（十个明确、十四个坚持、十三个方面成就、六个必须坚持）、历史地位及'两个确立'的内涵与意义。
习思想_习概/习概开卷必带资料.pdf,"{""id"": ""69956dcfe01ad802e5336f26"", ""reused_existing"": true}",,习思想_习概往年题,课程,习思想_习概,往年题,习概开卷必带资料.pdf,0.84,该资料为习概课程开卷考试复习资料，涵盖习近平新时代中国特色社会主义思想创立的时代背景、两个结合、主要内容（十个明确、十四个坚持、十三个方面成就、六个必须坚持）、历史地位及两个确立的内涵与意义。
习思想_习概/习概提纲（重排版+二十大报告） (1).pdf,"{""id"": ""69956dd2e01ad802e5336f29"", ""reused_existing"": true}",,习思想_习概实验资料,课程,习思想_习概,实验资料,习概提纲（重排版+二十大报告） (1).pdf,1.15,该文件为《习概提纲（重排版+二十大报告）》，包含导论及第一章内容，涵盖习近平新时代中国特色社会主义思想创立的时代背景、两个结合、主要内容、历史地位、两个确立，以及新时代坚持和发展中国特色社会主义、中国式现代化与中华民族伟大复兴等核心知识点。
习思想_习概/习概提纲（重排版+二十大报告）.pdf,"{""id"": ""69956dd2e01ad802e5336f29"", ""reused_existing"": true}",,习思想_习概实验资料,课程,习思想_习概,实验资料,习概提纲（重排版+二十大报告）.pdf,1.15,该文件为《习概》课程提纲，重排版并融入二十大报告内容。涵盖导论及第一章，包括时代背景、两个结合、主要内容、历史地位、两个确立、中国特色社会主义道路、新时代、四个自信、社会主要矛盾、伟大变革、五位一体、四个全面等核心知识点，适合复习备考。
习思想_习概/习概画重点(1).docx,"{""id"": ""6a0724c8abfe09661dcd8b26"", ""reused_existing"": true}",,习思想_习概往年题,课程,习思想_习概,往年题,习概画重点(1).docx,0.06,该文档为《习近平新时代中国特色社会主义思想概论》课程的重点整理，涵盖导论及前七章核心考点，包括两个结合、六个必须坚持、四个自信、新时代内涵、中国式现代化特征、党的领导优势、人民立场、共同富裕、全面深化改革、新发展理念等，适合期末复习使用。
习思想_习概/习概资料(1).docx,6a0724beabfe09661dcd8b1a,习思想_习概复习资料,习思想_习概复习资料,课程,习思想_习概,复习资料,习概资料(1).docx,0.02,该文档为习概课程资料，涵盖导论及前八章内容，包括习近平新时代中国特色社会主义思想的时代背景、历史地位、核心内容，以及新时代坚持和发展中国特色社会主义、中国式现代化、党的全面领导、以人民为中心、全面深化改革开放、高质量发展、教育科技人才战略、全过程人民民主等知识点。
习思想_习概/习概资料(2).docx,69956dd2e01ad802e5336f2a,习思想_习概复习资料,习思想_习概复习资料,课程,习思想_习概,复习资料,习概资料(2).docx,0.02,本资料为习概课程导论部分的选择题与填空题汇编，涵盖中国特色社会主义进入新时代、世界大变局、党的理论主题、战略布局、总任务、中国梦、党的领导、以人民为中心、全面深化改革、高质量发展及教育科技人才战略等核心知识点，适合复习备考。
习思想_习概/习近平总书记教育重要论述讲义.pdf,6a0724c9abfe09661dcd8b27,习近平总书记教育重要论述讲义,习近平总书记教育重要论述讲义,课程,习思想_习概,课件,习近平总书记教育重要论述讲义.pdf,0.42,该文本为《习近平总书记教育重要论述讲义》导言部分，阐述了习近平总书记教育重要论述的时代背景，包括全球发展大势、中国特色社会主义进入新时代以及中国教育改革发展历史经验等，强调教育的基础性、先导性、全局性地位和作用。
习思想_习概/二十大报告.pdf,"{""id"": ""6a0724c5abfe09661dcd8b22"", ""reused_existing"": true}",,习思想_习概实验资料,课程,习思想_习概,实验资料,二十大报告.pdf,0.46,习近平代表第十九届中央委员会向党的二十大作报告，总结过去五年工作和新时代十年变革，阐述大会主题，强调高举中国特色社会主义伟大旗帜，全面贯彻新时代中国特色社会主义思想，弘扬伟大建党精神，为全面建设社会主义现代化国家、全面推进中华民族伟大复兴而团结奋斗。
习思想_习概/二十届三中全会报告全文-中共中央关于进一步全面深化改革　推进中国式现代化的决定.docx,"{""id"": ""6a0724c6abfe09661dcd8b23"", ""reused_existing"": true}",,习思想_习概实验资料,课程,习思想_习概,实验资料,二十届三中全会报告全文-中共中央关于进一步全面深化改革　推进中国式现代化的决定.docx,0.04,2024年7月18日，中国共产党第二十届中央委员会第三次全体会议通过《中共中央关于进一步全面深化改革、推进中国式现代化的决定》。该决定阐述了进一步全面深化改革的重要性和必要性，明确了指导思想、总目标，并聚焦经济体制、民主政治、文化强国、人民生活品质、美丽中国、平安中国等六大领域，为推进中国式现代化提供强大动力和制度保障。
习思想_习概/二十届四中全会公报 (1).docx,6a0724ceabfe09661dcd8b2d,习思想_习概课程资料,习思想_习概课程资料,课程,习思想_习概,课程资料,二十届四中全会公报 (1).docx,0.02,中国共产党第二十届中央委员会第四次全体会议于2025年10月在北京举行，审议通过《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》。全会高度评价“十四五”成就，强调“十五五”时期是基本实现社会主义现代化的关键阶段，提出坚持高质量发展、科技自立自强等主要目标，并部署建设现代化产业体系等任务。
习思想_习概/二十届四中全会公报.docx,6a0724ceabfe09661dcd8b2d,习思想_习概课程资料,习思想_习概课程资料,课程,习思想_习概,课程资料,二十届四中全会公报.docx,0.02,中国共产党第二十届中央委员会第四次全体会议于2025年10月在北京举行，审议通过《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》，强调以中国式现代化全面推进中华民族伟大复兴，提出“十五五”时期经济社会发展的主要目标和原则。
习思想_习概/二十届四中公报全文考点梳理(1).pdf,6a0724cfabfe09661dcd8b2e,习思想_习概课程资料,习思想_习概课程资料,课程,习思想_习概,课程资料,二十届四中公报全文考点梳理(1).pdf,0.37,本文为中国共产党第二十届中央委员会第四次全体会议公报全文，于2025年10月23日通过。全会审议通过《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》，强调以中国式现代化全面推进中华民族伟大复兴，提出“十五五”时期经济社会发展主要目标，包括高质量发展、科技自立自强等。
